スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"😅この絵文字使う奴にロクなやついねぇ。






",2,16,"3,787",2025/8/4 23:14:28,https://www.threads.com/@mochi__2819/post/DM76Hl6vA-s
,"なんか、回避型男子のアカウントめちゃくちゃありすぎて誰か誰だかわかんない
というかアイコンがAI感あり過ぎてより胡散臭いと思うの私だけなのか？🥹






",0,26,"2,736",2025/8/5 8:26:03,https://www.threads.com/@mochi__2819/post/DM85PgW0xQV
,"回避型をすぶ沼に突き落とすたった一つの方法について、ちゃんとまとめるからフォローして待ってて😤✨（無料）






",1,41,"2,433",2025/8/5 14:56:33,https://www.threads.com/@mochi__2819/post/DM9l7l_PrtP
,"回避の彼と出会った時、やたら過去の恋愛のトラウマ話されたし、モテアピールも今では回避型あるあるすぎてわかりやすすぎるけど、当時はめっちゃ素直に“そうなんだね🥹”って受け止めてた。





",0,37,"3,809",2025/8/5 17:56:23,https://www.threads.com/@mochi__2819/post/DM96gvGvZMd
,"執着が“悪”みたいなのマジでやめて欲しい。
そもそも恋愛って赤の他人なのにこの人のためにって思えるくらいくらい好きになってんだからさすがにその気持ち手放したくないって思うのは当然でしょ🥺執着手放せ系の発信見ると、手放せたらとっても楽なんですけどねぇ、って横目でみて流してるぜ。
執着万歳！







",0,38,"2,176",2025/8/5 21:03:24,https://www.threads.com/@mochi__2819/post/DM-P6hAPRMF
,"本気になったら負けじゃんが彼の口癖だったな、これ真意だわ。















",0,9,"1,600",2025/8/5 21:46:52,https://www.threads.com/@mochi__2819/post/DM-U45uPdeK
,"あのさ…夜テクみたいなノウハウあるけどなんかずっとズレてる。
夜テクで本命になるとかない、断言する。
男が本命にしたくなる女って、そこじゃない。
みんなわかるよね？🥺






",0,6,"2,653",2025/8/5 22:08:01,https://www.threads.com/@mochi__2819/post/DM-XT2uPRJU
,"回避型に悩む女性って、
「なぜ彼はこういう態度をとるのか」
「私がどう動けば彼が変わってくれるのか」
って、答えを知りたくてたまらなくなる。
すると、「回避型だから」「愛着スタイルだから」っていう
“わかりやすい理由”にすがりたくなって、
無意識に「攻略本」みたいに扱うよね。







",0,13,"2,454",2025/8/6 8:51:10,https://www.threads.com/@mochi__2819/post/DM_g6Xth9ce
,"相手が回避型かエセ回避型か見抜く方法は、

2週間一切音信不通にすること。
その間に相手から何かしらの連絡がないならそれはもう回避を装ったただの脈なし男だよ、次！











",1,23,"7,046",2025/8/7 0:03:32,https://www.threads.com/@mochi__2819/post/DNBJUwbPXDl
,"復縁するのは簡単。でも、その後の方がよっぽど難しい。






",0,7,"2,070",2025/8/7 0:10:48,https://www.threads.com/@mochi__2819/post/DNBKJ56vhB9
