　,投稿文,リプ,いいね,インプ,日時,URL
,"炎上したらすぐに消します。
育児してるママでこの４つをよく使う人は、悪いこと言わないから最後まで見て
①豆乳
②ヨーグルト
③ココア
④味噌

ちゃんと選ばないと、逆に体に悪いかも😳
ちゃんと選ぶためには・・・

① 豆乳
・無調整豆乳は添加物なし
・調整豆乳は乳化剤、香料なども入ってる。
健康的に見せてるけど、実は・・・
っていうのが豆乳。
無調整豆乳は飲みにくいから、みんな調製豆乳を買いがちなんだけどね。
直接飲む以外なら、無調整豆乳がおすすめだよ
おすすめは・・・
・ふくれん 九州産大豆成分無調整豆乳
・キッコーマン おいしい 無調整豆乳 

②　ヨーグルト
・生乳100%ヨーグルトの原材料は生乳だけ。
・それ以外は脱脂粉乳や植物性油脂でかさ増しされている可能性あり。
ヨーグルトは腸内環境にも健康にも良いものですが、選び方を間違えると逆に体に負担がかかる。
だから、ママさんはちゃんと選びたいものの1つ
スーパーで買える生乳100%ヨーグルトは・・・
・小岩井 生乳100%ヨーグルト
・トップバリュ 生乳100%プレーンヨーグルト 

③ ココア
・純ココアの原材料はココアパウダーだけ。
・ミルクココアはココアパウダーより砂糖の方が多い。
カカオはポリフェノールも豊富で体にいいけど、ミルクココアになると砂糖の量も多いし添加物も多くて健康に悪い飲み物
純ココアを買って、家ではちみつなどを入れて飲むのがおすすめ
スーパーで買える純ココアは・・・
・森永 純ココア
・ヴァンホーテン　ピュアココア 

④　味噌
・天然醸造の味噌は「原材料：大豆、米（または麦）、食塩」だけ。
・酒精は保存安定のために入ってることもある。
・上記以外の味噌は、生きた菌はほぼいない。
・発酵食品というより「味噌風調味料」的な側面。
天然味噌の生きてる菌を取ることで、腸内環境た免疫力向上の効果を得られる。
70度以上でシぬが、死菌でも善玉菌のエサになる。
スーパーで買える天然醸造の味噌は・・・
・円熟｜ひかり味噌
・昔ながらの天然醸造｜山印醸造",13,266,"38,000",2025/10/2 20:00:05,https://www.threads.com/@ajinobaba/post/DPTexgNCg6m
,"炎上したらすぐに消します。part2
育児してるママでこの3つをよく使う人は、悪いこと言わないから最後まで見て‼️

①納豆
②チーズ
③ドレッシング

ちゃんと選ばないと、逆に体に悪いかも😳
スーパーで簡単に手に入って、子供の健康に良い商品は・・・👇

① 納豆
・「遺伝子組み換えでない」と書いてても、5％までは混ざっててOK。
・日本は遺伝子組み換え作物の栽培が禁止なので大豆は絶対に国産。
・タレやからしに不要な添加物が多い。


健康食の代表である納豆が・・・
バアバ初めて知った時はショックだったよ😭

納豆との上手な付き合い方は、この2つだね。
「国産の大豆を使ってる」「醤油は家にあるものを使う」

バアバおすすめの納豆は・・・
・くめ納豆 北海道納豆
・おかめ納豆 国産丸大豆納豆


②チーズ
・プロセスチーズはナチュラルチーズを溶かして乳化剤で固める。
・ナチュラルチーズは生乳を凝固させた「そのままのチーズ」。

歯や骨の強化・疲労回復・ダイエットで効果を期待されてるチーズだけど
選び方を間違えると余分に添加物を取ることになる・・・

これを知ってる上でプロセスチーズを買うのは良いけど、知らずして買うのは避けたいね👵

バアバおすすめのナチュラルチーズは・・・
・雪印北海道100 さけるチーズ プレーン 50g
・各種モッツアレラチーズ（写真は一例）

③ドレッシング
・せっかくの野菜も、かけるドレッシング次第で不健康に…😭
・油が多いと塩味を感じにくいから、塩分過多になる可能性あり。

せっかく健康に気を遣って野菜を食べても、高血圧になったら本当に悲しいよ・・・
添加物は安全だよ！危険じゃない。っていう意見もあるけど、コロナワクチンでもそうだったでしょ？

添加物の全部が悪いとは思わないけど、取らなくて良いなら取らないほうがいい。

そんなバアバのおすすめドレッシングは・・・
・なんでもいける胡麻ドレッシング
・無印良品 ドレッシングシリーズ「たまねぎ・レモン・にんじん・トマト」",7,335,"37,000",2025/08/23 17:00:00,https://www.threads.com/@ajinobaba/post/DNsKdx9QMAE
,"声を大にして、皆に伝えたい‼️
みんな、男前豆腐店っていうメーカー知ってるかい？👵
豆腐の材料が、たったの2つだけ！
国産の大豆
粗製海水塩化マグネシウム（にがり）
シンプルに素材だけで勝負って感じがして、本当に男前だよね‼️
特濃ケンちゃんが特に有名な気がするけど、美味しすぎてバアバとろけちゃうね🫶
他にもこんな男前な豆腐があったら、バアバに教えてね✨


これスクショして、スーパーで見かけたら買ってみて✨


みんな、ごめんね！！！！
教えて頂いたんだけど、京まろ豆腐の大豆はアメリカ産でした💦
ただ分別生産流通管理が行われてるから、遺伝子組み換えの心配は限りなくゼロだよ👵
心配な人は、京まろとうふ以外を試してみてね✨

























",40,816,"37,000",2025/09/05 15:00:00,https://www.threads.com/@ajinobaba/post/DONa_7YEaSa
,"大きい声で言えませんが、
昨日の【天然塩を一瞬で見分ける方法】っていう投稿はあまり需要なかったのかな…？

天然の塩って本来、ミネラルが2割くらい入ってるんだけど、精製塩はそれらを排除しちゃって、ほぼ栄養がなくなるんだ…

それを製法で見分けたりするのは難しいから、一目で見分ける方法を解説したよ👵✨





",5,384,"35,000",2025/9/20 12:00:18,https://www.threads.com/@ajinobaba/post/DOzuVDEEwAc
,"昨日の投稿、妊婦さんから好評でバアバ嬉しい👵
柑橘系食べたいけど、アレはちょっと怖いよね〜
添加物・農薬系は炎上しやすいから、炎上したら消すよ💦
妊婦さんじゃなくても知ってると安心だから、今のうちに見てみてね✨








",0,70,"34,000",2025/08/24 12:00:00,https://www.threads.com/@ajinobaba/post/DNuM4aa3iNv
,"独り言なんですが…

3日前【水99%のウエットティッシュは薬品だらけ】っていう投稿はあまり需要なかったのかな…？

バアバ的には綺麗にしたいから使ったウエットティッシュで、良くない薬品を塗り広げてる感じがすごく怖いんだよね🥹

妊婦さん、乳児期のママさんは見て欲しいな‼️

滅菌水を使ったコットン100%のウエットティッシュも紹介してるからね👵✨




",11,390,"32,736",2025/9/15 12:00:29,https://www.threads.com/@ajinobaba/post/DOm2X6qibQq
,"threads初めて10日経たずに沢山の人にフォローして貰えて嬉しいよ👵
しかも、たった2時間でフォロワーさんが3倍になったよ😱
みんな、バアバに教えて欲しいことがあれば、リプで教えておくれ👵
noteにも挑戦してみようかな🤔✨




























",0,30,"32,000",2025/08/23 21:50:00,https://www.threads.com/@ajinobaba/post/DNsrkQw4nq7
,"大きい声で言えませんが、
バアバの好きなポン酢…実は結構添加物だらけ🥹

食品のは果糖ぶどう糖液糖、酵母エキス…
さらに添加物で、調味料(アミノ酸等)、酸味料、香料まで…

「酸味・うま味・香り」はほぼ添加物で作られてるのよ💦
選ぶならシンプルな原材料のポン酢だね👵✨

スーパーで買えるおすすめポン酢は

①【光食品】有機ぽん酢しょうゆ（250ml）
有機本醸造しょうゆをベースに米酢と果汁で作られた安心なポン酢✨
②【成城石井】柚子ぽん酢
本醸造しょうゆと醸造酢をベースに出汁の旨みをブレンド✨
③内堀醸造 美濃特選味付ぽん酢
枕崎鰹節の一番だしが使われていて、酸味はマイルド
子供にも使いやすい✨
でも、パッケージのフォントがちょっと怖い🤫



























",5,101,"27,478",2025/9/12 18:00:48,https://www.threads.com/@ajinobaba/post/DOfxObykVjr
,"批判覚悟でいいます。
あなたの家にある焼肉のタレ、本当に大丈夫ですか⁉️

全ママの味方である「焼肉のタレ」
実はイヤな成分が結構多く入ってます。

気をつけたいのは添加物だけじゃないです…

添加物：カラメル色素
食品：還元水飴、たんぱく加水分解物

安心できる焼肉のタレは…

①味研　無添加焼肉タレ
添加物ゼロ、還元水飴、たんぱく加水分解物なし
しかも、できるだけ手作業で作られているんだよ！
食材本来の優しい味が大好きだよ🫶
a.r10.to/hgM4C… pr

②モランボン　焼き肉のたれ ジャン
添加物ゼロ、還元水飴、たんぱく加水分解物なし！
13種類の果物や香辛料を生のままブレンドした「生ブレンド製法」
フレッシュ感があって美味しいよ✨
a.r10.to/hReIY… pr
一応貼っておくけど、これは送料かかっちゃうからスーパーで買ったほうがいいかも🫶

③光食品 焼肉のたれ 350g
原材料にこだわって国産の食材を多く使っっている焼肉のタレ
国産有機にんにく、本醸造醤油、圧搾絞りごま油など、書ききれないほどのこだわりがあるよ！
バアバのイチオシだよ🫶
a.r10.to/hNqzr… pr

























",3,95,"27,126",2025/9/13 20:00:38,https://www.threads.com/@ajinobaba/post/DOiju_bCDFo
,"ねぇねぇ妊婦中のママさんたち！！！
バアバ炎上覚悟で語るから、、、この投稿今すぐに旦那さんにも共有して‼️

妊婦中に無性に食べたくなる人が多い柑橘類だけど、防カビ剤に注意しないと奇形のリスクが高まってしまうかも知れないよ😭

グレープフルーツやオレンジ、レモン、ライムなどは買う時に防カビ剤が使われた居ないものを選んでね。

でも防カビ剤はTBZとか難しいから覚えるの大変・・・
じゃあ、どうしたらいいの・・・😭👇



必ず商品棚の値札か袋に防カビ剤使用って書いてある。
それだけ避ければ良いよ！



ビオセボンのような、無添加オーガニックスーパーにはあったりするよ☺️
あとは、量は多いけど楽天市場でも買える！
母子共に健康で出産できるよう、食をケチってはダメだよ👵
























",1,110,"26,000",2025/08/23 15:00:00,https://www.threads.com/@ajinobaba/post/DNr8p352MN9
