スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"✍️インサイドセールスTips

私がインサイドで架電をしていた時、
架電前にどれだけ顧客情報を多く集められているかがすごく重要だったなと。
しかもそれをホットのタイミングで、時間をかけずにいかに素早くやるかが大事。

この時すごく活用していたのが、
会社名＋”中長期計画”などのIR資料を検索すること。

ここにはサイト上の事業内容だけでなく、直近の動向や今後の課題などがたくさん詰まっているので本当に重宝してました。

あとは採用ページにも意外と情報が詰まっていて、どのような事業展開をしているのか、どのようなスキルが求められるのか（＝どのような施策をこれから打っていきたいのか）などが応募者向けに比較的分かりやすく書かれているなと感じます。






",0,9,"1,065",2025/3/21 15:24:20,https://www.threads.com/@sena___dayo/post/DHc4NT6zC5R
,"私は未経験でフルリモート正社員に転職できたのですが
実質、書類提出や面接などの転職活動をしていたのは2ヶ月くらいです。

意外と早い？と思うかもしれませんが、

その前に死ぬほど”未経験で正社員フルリモートになる方法”について調べたり
企業研究、自己分析、転職活動の軸作りなど事前準備をしました。笑
これが大体3ヶ月くらいだと思います。🥲

逆にいうとここさえ早めに掴むことができれば
割と早く転職できたのかなと思います…！

このあたりできるだけお伝えできればと思ってて
できるだけ効率よく転職活動（就活）をして欲しいです…！






",0,77,"7,124",2025/3/24 21:44:02,https://www.threads.com/@sena___dayo/post/DHlSC0rzE4R
,"すごく嬉しいことがあったのでシェア💭

実はひっそりと初めて有料noteを作ってみたのだけど
（収益目的というより、割と公にできない情報だったので）

早速購入いただけた上に、素敵なメッセージとチップまでいただけて。
初めてのことでどうしていいかわからなくなるくらい嬉しかったです。

これからも頑張ります。ありがとうございます🥲






",0,6,"2,153",2025/3/25 16:34:06,https://www.threads.com/@sena___dayo/post/DHnTXtUT74D
,"リモートワークあるあるだと思うんですが
家でお仕事する時は、めっちゃ眠かったら8時50分に起きてそのままメガネだけかけてミーティングに参加、もちろん下はパジャマ（笑）






",1,6,"2,583",2025/3/26 15:18:14,https://www.threads.com/@sena___dayo/post/DHpve8AzEs7
,"フルリモートの良さって本当に色々あるけど、
私が約4年間フルリモートで働いてみて感じる、いちばんの良さは
「会いたい人に、会いたい時に・会える時に、
会いにいくことができる」ことだと思ってます。

note でも少し書いたのですが、
私は今28で親も60近く、いつ何があってもおかしくないし、遠くに住んでたら”健康なうちに”何回会えるかわからない。

友達だってそうで、会いたいなーと思う大事な人に、遠くに居てもすぐ会いに行けるって、この年齢なるとなかなか難しいけど本当に大事なことだと実感してます💭







",0,10,"2,672",2025/3/26 15:22:41,https://www.threads.com/@sena___dayo/post/DHpv_mhT3wk
,"本当に在宅ワークで稼いでる人は
InstagramのDMやLINEに誘導することは
10000000%ありません！！！！！！
ソースは私です！！！！！！！！笑

これですよ🙂‍↕️

楽して在宅ワークで稼ごうとしている方、
断言します、楽して稼げる仕事なんてありません…いい話に騙されてはダメです
ちゃんと転職サイトから求人を探して、
書類をたくさん出して、
履歴書をたくさん推敲して、
面接をきちんと受けて、在宅のお仕事に就いてください
私も時間はかかったものの
書類選考なんて50社以上落とされ、
その度に履歴書を書き直して自分と向き合い、
面接を重ねて志望動機を練り直して
やっと今のお仕事を手に入れました。
自分と向き合ういい機会だと思ってください🥲

すみません、10000000%はいいすぎました🥲
あくまで、全て私の個人的な意見と取っていただけると嬉しいです…🙇🏼

















",17,256,"27,000",2025/3/26 16:00:07,https://www.threads.com/@sena___dayo/post/DHp0RqLTj76
,"あとは私が実際に遭いかけた副業詐欺は
今話題のオンラインカジノのアフィリエイトかな…

当時コロナ禍だったんだけど
大学時代の友人からめちゃくちゃしつこく誘われた😇

私はよく調べたから大丈夫だったけど
やってる知り合いが何人かいてゾッとした🙃

同じような方いますか？笑





",5,8,"3,143",2025/3/26 17:17:48,https://www.threads.com/@sena___dayo/post/DHp9KoqTYW7
,"なんか…なぜかほとんど力を入れてない（興味本位でちょっと投稿しただけ）の楽天ROOMから
日々結構な金額が売れてるのですが
なんでですか…しかも楽天トラベルって…
私どこにもリンク貼ってない😇





",0,46,"19,000",2025/3/26 17:39:33,https://www.threads.com/@sena___dayo/post/DHp_p7iTjOa
,"そういえばこういう在宅ワーク？系の
詐欺に遭いかけた経験、
過去に2回ある（アホすぎ）

1回目はさっき投稿したアフィリエイト、
2回目は有名なめちゃくちゃインスタグラマーの紹介😇😇😇ほんとありえない😇






",0,16,"9,413",2025/3/26 22:40:26,https://www.threads.com/@sena___dayo/post/DHqiFwjzWu8
,"お仕事でNotion使ってる方いますか？
私は議事録から使い始めたんだけど、
今ではタスク管理からメモ、スケジュール管理まですべてお世話になっている🥲🙏✨

使いこなすまでちょっと時間がかかったけど
この辺り、実際に使っているところなど
お見せできたらいいな〜！💭






",0,12,"5,763",2025/3/27 12:15:52,https://www.threads.com/@sena___dayo/post/DHr_aG_zZjz
,"DMで、インサイドセールスについても気になります！というメッセージもいただいたので
これからインサイドについてもちょっとずつ投稿してみます👀

インサイドは、未経験からフルリモート正社員に挑戦するときに1番ぴったりな職種だと思ってる（個人的に）
しかもマーケとの親和性高すぎるから将来的なキャリアチェンジもめちゃくちゃしやすい💪🏻✨





",3,13,"1,836",2025/3/28 10:25:56,https://www.threads.com/@sena___dayo/post/DHuXnyOTAuC
,"この投稿をしてから結構反響があり。
私も反省したのですが、中にはまともな在宅ワークの紹介でLINE誘致を使われている方もいるらしく、そういった方が詐欺に埋もれてしまうのは本当に悲しいし悔しいことだなと思ったので、個人的にそこを見極めるポイントを考えてみました💭
（※これも個人の見解なので間違いあれば指摘してください）

①そもそも普段の投稿の感じからなんとなくわかる
→これは本当に直感なのですがとりあえず普段の投稿を見てみれば私はわかる気がします…
②その方が具体的にどのような在宅ワークをしているのかぼかしていて明記していない
→稼げてる、収益上がる、note買っていただいた方からこんな反響が！というメッセージスクショだけ載せ、肝心の内容は書いてない。やり方は費用として払ってからしか分からないとしても、大体なにをやってるかくらいは普通載せてもいいと思うのでこの辺を少しでもぼかしてる人は怪しい
③普段の投稿が、「〜してる人いないかな？」みたいな疑問系が多すぎる
→コメント狙ってインプ稼ぎしてるのかな？と（めちゃくちゃ偏見）
④明らかにchatGPTで作ったノウハウを発信してる

本当に在宅ワークで稼いでる人は
InstagramのDMやLINEに誘導することは
10000000%ありません！！！！！！
ソースは私です！！！！！！！！笑










",0,16,"1,664",2025/3/28 13:25:04,https://www.threads.com/@sena___dayo/post/DHusH2Iz0LC
,"お風呂上がりの飲むヨーグルトが本当に1番美味しいと思ってる






",2,10,"2,034",2025/4/1 23:09:50,https://www.threads.com/@sena___dayo/post/DH6COVdzIY9
,"あのここで言わせてください、こんな私の投稿にいつもいいねしてくださってる方が何名かいらっしゃるんですが本当に嬉しいです、ありがとうございます🥲🥲🥲






",2,34,"3,083",2025/4/1 23:21:48,https://www.threads.com/@sena___dayo/post/DH6Dl_cTVOM
,"一度だけ、お仕事（研修）でSalesforceの丸の内オフィスにお邪魔したことがあるのだけど
それはそれはもうすごかった（語彙力）

社員全員の余裕とエネルギッシュな雰囲気、スマートすぎる対応、多国籍、、まさにエリート集団だった🥲✨





",0,18,"4,017",2025/4/2 10:26:30,https://www.threads.com/@sena___dayo/post/DH7PqUaTPt9
,"実は、私の夫はもともと全国転勤だったんだけど、今年から転勤がないお仕事に転職してくれて。

かなりのグローバル大手企業で、いわゆるシステム系の部署なんだけど、

・業種未経験
・転職活動時の年齢は30↑（転職は初めて）

だったにも関わらず転職できて、しかも年収が200万上がった😂😂😂謎すぎる笑

これも私と一緒に面接対策バリバリやったからかな…なんて…笑（過信すぎ）




",0,29,"9,507",2025/4/2 13:32:41,https://www.threads.com/@sena___dayo/post/DH7k-DRTlQQ
,"だめだ、フォロワーさんが1000人を超えたあたりから若干リアルで知り合いかな、みたいな方がフォローやいいねしてくださるようになってしまった…
恥ずかしすぎるので知り合いにはバレたくなくて、プライベート垢のフォロワーは全員ブロックしてる（本当にごめんなさい）

あれ、知ってるなこいつと思われた方はそっとしといてください…😇😇






",0,23,"3,921",2025/4/2 13:43:34,https://www.threads.com/@sena___dayo/post/DH7mNv2zMcN
,"note買ってくださった方で、わざわざ嬉しいお言葉のDMを送ってくださる方がたくさんいて、神様なの…？と思ってる…🥲






",0,3,"1,410",2025/4/2 23:16:28,https://www.threads.com/@sena___dayo/post/DH8nxt9Tqvc
,"ここ（Threads）にいるみなさんは、どんな在宅ワークをしてるのかな？と、純粋にふと疑問になり「在宅ワーク」って検索してみたら
ああ、マルチ、これもマルチ、チャットレディ、出会い系誘導、自分の収益化のための稼ぎ方note 販売、、、、と本当に嫌になるものばかりが溢れてて、まともに（？）発信している人がめちゃくちゃ埋もれてる感ある、、、どうにかしたい、、、勿体なさすぎる、、、、、涙涙涙

てか普通に考えて、このお仕事やりませんか？💖（マルチ感すごい）ってコメントしまくってる人って、もう自分🐭講やってますよと言いふらしてるのと同じじゃん…と思ってしまう……だって🐭講のビジネスがもうそれだから…







",2,63,"3,715",2025/4/3 9:21:39,https://www.threads.com/@sena___dayo/post/DH9tCO5zsvh
,"夫の転職活動を手伝って感じたこと💭

やはり自分の市場価値を高め、年収を上げるには転職がいちばん手っ取り早いということ。

もちろん、転職せずとも社内で昇進して年収を上げるという方法もあるし、絶対に転職の方が年収が上がるというわけではないけど、可能性や確率は高いと思う。

というのも、私の夫は10年ほど新卒の会社に勤めてて、そこそこ大手で安定もしていたのだけど、グンとお給料があがることもなく。

思い切って未経験でも転職してみたらかなり年収が上がったし、今の会社でも、上司からは”成果を出せば3年以内に◯◯◯万円上がるよ（すごい上がり幅）”と言われてるらしいから、
年齢や経験に関わらず、思い切って転職という選択をするのは悪くないなと思った。

面接対策をしっかりすれば、業種や業界の経験がなくても自分の良さはしっかり伝わる！

実は、私の夫はもともと全国転勤だったんだけど、今年から転勤がないお仕事に転職してくれて。
かなりのグローバル大手企業で、いわゆるシステム系の部署なんだけど、
・業種未経験
・転職活動時の年齢は30↑（転職は初めて）
だったにも関わらず転職できて、しかも年収が200万上がった😂😂😂謎すぎる笑
これも私と一緒に面接対策バリバリやったからかな…なんて…笑（過信すぎ）








",0,10,"2,391",2025/4/3 12:04:16,https://www.threads.com/@sena___dayo/post/DH9_pV5TDTC
,"なんか最近思うんですが
私の投稿って毎回文章長すぎますよね、、、笑

思い出したり、会社で学んだりしたことを全部その時にそのまま投稿したいのでダラダラと長くなってしまうんだけど、本当はまだ文字数足りないくらいで…
多分note とかに都度まとめた方がいいんだろうけど、noteに毎回飛ぶのって面倒だろうなと思うのでThreadsに長ったらしく書いているのですが🫠

他の方の投稿と比べてたら圧倒的に長文な気がして目障りかなと…🫠

ライターでもなんでもないので
文章力がない上に、長すぎる投稿を
いつも見てくださって本当にありがとうございます🙇🏻‍♀️






",3,6,"1,608",2025/4/3 17:56:12,https://www.threads.com/@sena___dayo/post/DH-n67OzAar
,"やっぱり面接官も「1人の人間」であることには変わりないので、面接の内容も大事だけど、結局どれだけ印象に残るか、が凄く大事だと思う。
特にたくさんの応募者と面接する新卒🔰






",0,11,"1,845",2025/4/3 22:45:41,https://www.threads.com/@sena___dayo/post/DH_JDMzve30
,"インサイドセールス＝家でメールと電話
フィールドセールス＝オンライン商談
マーケティング＝施策の検討と分析、Web会議
コンサル＝Webで顧客と打ち合わせ

やっぱりTHE MODEL型を取り入れている業界や
会社は比較的リモートが多い気がする。
フルリモートもたくさんある。






",0,23,"2,477",2025/4/4 14:48:26,https://www.threads.com/@sena___dayo/post/DIA3OmpTHAD
,"基本人と話したり関わるのが大好きなので、
DMくださった方に2倍くらいの文量で返してしまうことあるから引かれてないか心配になる…😇





",0,10,"2,146",2025/4/5 21:55:27,https://www.threads.com/@sena___dayo/post/DIEM4_pzEqc
,"未経験からマーケティング職のキャリア形成をしたい方、いますか〜？💭

マーケ職はリモートがしやすい職種の一つだと思ってるので、お子さんがいる方にもとってもおすすめです💪🏻
需要があれば、私自身がそんな感じだったので
ロードマップなど詳しく書いてみます！

お待たせしました、コメントくださったみなさんありがとうございます🙇🏻‍♀️
こちらの記事に追加してます！！（めっちゃ長いです）
ロードマップ以外にも、転職やリモートワーク採用のポイントなど沢山記載してるので、よかったら目次だけでも覗いてみてください👀
note.com/sena…





























",9,151,"12,000",2025/4/5 22:51:27,https://www.threads.com/@sena___dayo/post/DIETTL1zVE-
