スクショ,投稿文,リプ,いいね,インプ,日時,URL
,"こわいこわい…仕事終わってスマホ開いたらこれ
流石に晒させてもらうわ

怖すぎるわマジで…

ごめんなさい、一昨日の間違いです🙏

豹変しすぎて……🤮

流れ説明すると、一昨日この方とは切れました(完全に私が悪い)。
2枚の画像は別投稿に出してある通り、終わった時のLINEです。
新しいLINEは載せてませんが、今朝「この前はごめん」というような長文LINEがきてました←イマココ
昨日スシローに行った🐶系男子(千葉雄大似)はこのLINEの方とは別の方です。


































",34,415,"370,000",2025/7/24 17:22:41,https://www.threads.com/@kana_konkatu/post/DMe9HeXh1an
,"マッチングアプリで出会って、スタバに行った彼から来てたのは不在着信15件と何故か怒ったLINE20件、、、。

はじめは、長文で謝罪
→徐々に返事して？に変わり
→最終的に、おい、とか早く返事しろ、など暴言に近くなってきてました。

すぐにブロックしました😇
どうせこの投稿もみてるんだよね？？怖すぎるわ……
って事で近いうちにこのアカウント非公開にしようと思ってるので、マッチングアプリ日記続けて見たいって方は今のうちにフォローしといてください🙇🏻‍♀️‪‪

※やっぱり🐶系男子(千葉雄大似)しか勝たんのかな〜






",45,369,"230,000",2025/7/24 18:58:36,https://www.threads.com/@kana_konkatu/post/DMfIGAthrde
,"おはようございます😊
今朝、確認すると、
マッチングアプリの方ブロックするの忘れてて、スタバの彼からめちゃくちゃメッセージ来てて鳥肌…。
普通に怖い。中にはスレッズを見てると思わしきメッセージも、、、。ほんとに非公開にした方が良さそう…。
皆さんストーカー男の対処法やエピソードってありますか？





",13,170,"56,000",2025/7/25 7:08:38,https://www.threads.com/@kana_konkatu/post/DMgbo3DhLAb
,"マッチングアプリで出会ったスタバの彼、
「ThreadsにLINE勝手にあげるな！」ってメッセージが来てた時のスクショにアカウント載ってて特定してThreadsもブロックできました😇

別の電話番号でアカウント作られたらまた見られる可能性あるけど、ひとまず安心？😭

見られる心配無くなっただけでかなりストレス減った！
次の投稿で🐶くん(千葉雄大似)の話しますね🫶🏻





",3,404,"110,000",2025/7/25 19:11:44,https://www.threads.com/@kana_konkatu/post/DMhuZDIB4Tx
,"今日はマッチングアプリで出会った、犬系男子(千葉雄大似)とマックデートしてきます！！！！
3回目のデートなので進展があれば良いなと密かに思ってます🫣
前夜ウキウキしすぎて眠れなかった様子をご覧下さい👇🏻

























",6,186,"43,000",2025/7/26 6:36:29,https://www.threads.com/@kana_konkatu/post/DMi8wP0zspx
,"彼28歳、千葉雄大似の犬系男子
170cm（通称🐶）

7月26日マックデートの会話

🐶〉あ、はいこれ。
（無言でポテト差し出してくる）

私〉ん？どうしたの？
🐶〉細くて長いやつだけ集めといた🫡
私〉なにそれ😂こだわり強っ！

▼

🐶〉てか今日、前髪いつもと違うくない？
私〉気づくんかい！笑

🐶〉うん。てかずっと見てた。
🐶〉今日さ、会うのすごい楽しみだった

（まじでマックなのにときめかされた）

▼

🐶〉あと3本だけポテト残ってるけど
🐶〉どっちが食べる？

私〉（きた…これがカップル未満の最終試練…）

私〉じゃあ、1本ずつ食べて
最後の1本はじゃんけんしよ？✊

🐶〉それ俺が勝ったらどうなる？

私〉食べていいよ笑

🐶〉いーや。勝ったら次のデートの約束な🐶✨
私〉（何この展開…ずるい…）

天然系と思わせての結構鋭い部分あってあなどれない…
今日楽しすぎて、また行きたい🥺

ミルキーパイと家帰って届いてたちいかわ焼きが美味しすぎました。














",13,252,"37,000",2025/7/26 18:05:05,https://www.threads.com/@kana_konkatu/post/DMkLjwehpF-
,"！？！？！？！？！？！？！？
マッチングアプリ7連敗中の私に遂に春訪れた？？
思考停止だし、心臓止まってる、、←え？
早く返事してきます🥺🥺



























",10,316,"27,000",2025/7/26 21:50:32,https://www.threads.com/@kana_konkatu/post/DMklW9vhd5e
,"あの後、お電話でもお話して……

なんと、なんと！！！！
マッチングアプリで出会った、千葉雄大似の犬系男子(通称🐶)くんと、、、、

お付き合いする事になりました！！！！！！！！！
うおぉぉぉぉぉぉぉ！！！！！(*-`ω´-)９ ﾖｯｼｬｧ!!

皆様ここまで温かく見守って頂き本当にありがとうございます😭

色々ありましたが、無事にここまで来れました！
不束者ですが、これからもよろしくお願いします🙏🙇🏻‍♀️‪‪
私と🐶くん2人の物語これからも続いていく(はずだよね？)ので応援お願いします😭

また色々投稿していきます！！
マチアプ7連敗中のアラサー独身干物女にも春が訪れたので皆さんにも幸せが訪れると思います🫶

マッチングアプリの裏側、付き合うまでにした全テクニックまとめました
→ note.com/kanac…




























",50,"1,325","78,000",2025/7/27 10:23:31,https://www.threads.com/@kana_konkatu/post/DMl7iADhxIE
,"マチアプで出会った千葉雄大似の彼と、付き合った初日から花火大会デートとか贅沢すぎませんか？？？
え？私今日で死んじゃう？幸せ絶頂期すぎる……
また報告しますね🫶🏻


























",0,266,"22,000",2025/7/27 13:03:06,https://www.threads.com/@kana_konkatu/post/DMmNy0vB4gx
,"花火大会くっそ楽しかった……
明日また写真とか色々あげますね🫶
1枚だけ……📸



























",2,72,"9,171",2025/7/27 23:01:53,https://www.threads.com/@kana_konkatu/post/DMnSUfuBw4G
,"お待たせしました！幸せおすそ分けさせてください🫶
次の投稿に写真もあげます！📸

マッチングアプリでお付き合いを始めた🐶くんとの花火大会デートの夜

🐶「うわ、人めっちゃ多いじゃん…」

私「ね。てかなんでみんなそんなに気合い入ってんの？浴衣率高すぎない？」

🐶「だって今日は花火大会だもん（笑）」

私「私たち、完全に私服組で草」

🐶「いいじゃん、それも俺たちらしくて」

⸻

私「てか、場所取れるかな？」

🐶「んー、どうだろ。虫とか来たら泣くかも」

私「え、虫こわいの？」

🐶「無理なやつは無理。あと、なんかモゾモゾされると生きてる実感湧くやん。やめてほしい」

私「なんの話（笑）」

（数分後、ちょっとした階段の縁に腰掛ける）

🐶「お。ここなら見えるかも。ほら、少し高いし」

私「たしかに。…あ、そろそろ始まりそうじゃない？」

🐶「うん…あ、きた」

⸻

（ドーンと空にひとつ目の花火）

私「…わぁ、なんか、夏っぽいね」

🐶「ね。俺、こういうの一緒に見るの、たぶん人生で初かも」

私「え、うそ」

🐶「まじで。“ちゃんと彼女と来た”って感じ、今初めてしてる」

↓





私「ふふ、なんかそれ聞けて嬉しいかも」
⸻
（2発目、3発目…花火の音にまぎれて、距離が少し近づく）
🐶「…あのさ」
私「ん？」
🐶「今日、来てくれてありがとう」
私「こちらこそだよ〜。私も来てよかった」
🐶「うん。なんか…今日、好きが増えた気がする」
私「…は？」
🐶「え、やば？今のなし！うそうそ！てか聞こえてないってことで…！」
私「（笑）いやいや、聞こえてたし。今の、聞こえたし」
🐶「やばい、今の俺、黒歴史確定じゃん…」
私「うるさいな（笑）…でも、私もたぶん、増えてたよ」
🐶「…ほんと？」
私「…たぶんね（にや）」
↓





（そのあとはふたりで屋台回ってご飯食べて、ジュースを半分こして、
帰り道で「また来年も来ようね」って言って、
改札前で手を振った──それが、ちいさくて大きな記憶になった夜でした。）
ほんとに彼氏と花火大会なんていつぶり？ってレベルでめちゃくちゃ楽しかったです😭😭
10代の頃に気持ちだけが戻って、ときめきまくりでした😭😭😭
実は、7回連続でマチアプの恋に失敗してきました。
バズって、晒して、恋が終わったこともあります。
それでも最後に出会えた、ちゃんと続く恋の話──
noteにすべて書きました
https://note.com/kanachan_konkatu/n/n381e7ad2df3b 
































",2,109,"20,000",2025/7/28 20:52:37,https://www.threads.com/@kana_konkatu/post/DMpoUgCBZ4X
,"マッチングアプリで出会った千葉雄大似の🐶系男子
と付き合った初日に行った昨日の花火大会デート
クッソ楽しかったです😭😭😭

ほんとに幸せすぎて…………😵‍💫
前の投稿にまとめてあるので是非チェックしてください🫶
皆さんに感謝です🙏





マッチングアプリでの裏側全部かきました🫶
→ https://note.com/kanachan_konkatu/n/n381e7ad2df3b 




































",2,217,"13,000",2025/7/28 20:55:41,https://www.threads.com/@kana_konkatu/post/DMpoq-3BwAc
,"みんなに聞きたいんだけど、これ結構悩んでる……

マッチングアプリで付き合う事になった後は、アプリ消すべき？

そして、彼にも消してって言うべきかな？
🐶くんがまだアプリ取ってるかどうかは
分からないけど、消してとかまだ取ってる？

って聞いちゃうと重い＆束縛する女と思われそうで、、、、。

私的には消して欲しいと思ってます🫣
皆さんならどうする？？






",100,91,"20,000",2025/7/29 7:33:46,https://www.threads.com/@kana_konkatu/post/DMqxsbsBhl2
,"ドキドキ……
モヤモヤするので思い切って聞いてみた！！
ここでまだやってるって返答が来たらすぐ消させます😂













",0,68,"24,000",2025/7/30 20:00:13,https://www.threads.com/@kana_konkatu/post/DMur6i7BbfW
,"理想の彼氏すぎる……
























",9,340,"77,000",2025/7/30 20:59:31,https://www.threads.com/@kana_konkatu/post/DMuys1Ahdfj
